owner	repo	default_branch	action	result	message
chittyapps	<org-ruleset>		org-ruleset	failed	{"message":"Not Found","documentation_url":"https://docs.github.com/rest/orgs/rules#create-an-organization-repository-ruleset","status":"404"}gh: Not Found (HTTP 404) gh: This API operation needs the "admin:org" scope. To request it, run:  gh auth refresh -h github.com -s admin:org
chittyfoundation	<org-ruleset>		org-ruleset	failed	{"message":"Not Found","documentation_url":"https://docs.github.com/rest/orgs/rules#create-an-organization-repository-ruleset","status":"404"}gh: Not Found (HTTP 404) gh: This API operation needs the "admin:org" scope. To request it, run:  gh auth refresh -h github.com -s admin:org
chittyos	<org-ruleset>		org-ruleset	failed	{"message":"Not Found","documentation_url":"https://docs.github.com/rest/orgs/rules#create-an-organization-repository-ruleset","status":"404"}gh: Not Found (HTTP 404) gh: This API operation needs the "admin:org" scope. To request it, run:  gh auth refresh -h github.com -s admin:org
chitcommit	<org-ruleset>		org-ruleset	skipped	owner is not an org or inaccessible
furnished-condos	<org-ruleset>		org-ruleset	failed	{"message":"Not Found","documentation_url":"https://docs.github.com/rest/orgs/rules#create-an-organization-repository-ruleset","status":"404"}gh: Not Found (HTTP 404) gh: This API operation needs the "admin:org" scope. To request it, run:  gh auth refresh -h github.com -s admin:org
chittycorp	<org-ruleset>		org-ruleset	failed	{"message":"Not Found","documentation_url":"https://docs.github.com/rest/orgs/rules#create-an-organization-repository-ruleset","status":"404"}gh: Not Found (HTTP 404) gh: This API operation needs the "admin:org" scope. To request it, run:  gh auth refresh -h github.com -s admin:org
